token,Headword,orth,gram,SenseNumber,sentence,author_surname,date,title,slug_obra,page_num
raizes,raiz,raiz,plural,1,"As [[b]]raizes[[/b]] em geral constaõ de
							cuticula, casca, lenho, e medulla.",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,13
raiz,raiz,raiz,,1,"Toda
							a [[b]]raiz[[/b]] simples (simplex), he indivisa e naõ lança
							ramificaçoẽs algumas nos lados do seu troço; pelo contrario a composta
							(composita) lança muitos ramos ao longo do seu troço: para disto se
							poder formar clara idea, he precizo reconhecer no commum das plantas
							duas sortes de troços continuados hum com outro, a saber, o troço
							descendente e ascendente.",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,13
raiz,raiz,raiz,,1,"O troço descendente das plantas (caudex descendens), em huma accepçaõ
							extensa he qualquer  [[b]]raiz[[/b]]; em hum sentido estricto, he a
							parte mais grossa  da raiz, a que alguns chamaõ taõbem o troço materno, do
							qual nascem lateralmente ramos, que lançaõ varias radiculas 
								Fibrillae, radiculae, taõbem se dá o nome de radicula á parte
									inferior da plantula seminal, ou corculo quando começa a
									germinar.
							, por meyo das quaes a  raiz chupa a substancia
							succosa, de que a planta se nutre; ás vezes contudo o troço da
								raiz naõ lança ramos, mas taõ somente radiculas.",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,13
raiz,raiz,raiz,,1,"O troço descendente das plantas (caudex descendens), em huma accepçaõ
							extensa he qualquer  [[b]]raiz[[/b]]; em hum sentido estricto, he a
							parte mais grossa  da raiz, a que alguns chamaõ taõbem o troço materno, do
							qual nascem lateralmente ramos, que lançaõ varias radiculas 
								Fibrillae, radiculae, taõbem se dá o nome de radicula á parte
									inferior da plantula seminal, ou corculo quando começa a
									germinar.
							, por meyo das quaes a  raiz chupa a substancia
							succosa, de que a planta se nutre; ás vezes contudo o troço da
								raiz naõ lança ramos, mas taõ somente radiculas.",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,14
raiz,raiz,raiz,,1,"O troço descendente das plantas (caudex descendens), em huma accepçaõ
							extensa he qualquer  [[b]]raiz[[/b]]; em hum sentido estricto, he a
							parte mais grossa  da raiz, a que alguns chamaõ taõbem o troço materno, do
							qual nascem lateralmente ramos, que lançaõ varias radiculas 
								Fibrillae, radiculae, taõbem se dá o nome de radicula á parte
									inferior da plantula seminal, ou corculo quando começa a
									germinar.
							, por meyo das quaes a  raiz chupa a substancia
							succosa, de que a planta se nutre; ás vezes contudo o troço da
								raiz naõ lança ramos, mas taõ somente radiculas.",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,14
raiz,raiz,raiz,,1,"O troço descendente das plantas (caudex descendens), em huma accepçaõ
							extensa he qualquer  [[b]]raiz[[/b]]; em hum sentido estricto, he a
							parte mais grossa  da raiz, a que alguns chamaõ taõbem o troço materno, do
							qual nascem lateralmente ramos, que lançaõ varias radiculas 
								Fibrillae, radiculae, taõbem se dá o nome de radicula á parte
									inferior da plantula seminal, ou corculo quando começa a
									germinar.
							, por meyo das quaes a  raiz chupa a substancia
							succosa, de que a planta se nutre; ás vezes contudo o troço da
								raiz naõ lança ramos, mas taõ somente radiculas.",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,14
raiz,raiz,raiz,,1,"O troço ascendente (caudex ascendens), he a parte da planta que se eleva
							sobre a  [[b]]raiz[[/b]], que apparece fora da terra, e a que tem o
							nome de tronco, de que tractarei no capitulo seguinte.",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,14
raiz,raiz,raiz,,1,A [[b]]raiz[[/b]] quanto á sua direcçaõ diz-se ser:,BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,14
folhas,folha,folha,plural,1,"Reptante ou serpentante, (reptans, s. repens), se he horizontal e corre
							lançando radiculas em varias distancias (hortelan, e escalracho): diz-se
							ser estolhosa (stolonifera) quando lança estolhos; os estolhos
							(stolones) saõ troncos herbaceos, quasi nus de [[b]]folhas[[/b]], sem juntas, serpertantes, ou estrados
							(ajuga reptans hieracium pilosella), se estes estolhos saõ longos,
							daõlhes o nome de verdascas (flagella) como no morangueiro, e rubus
							saxatilis.",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,14
arvores,árvore,árvores,plural,1,"Ramosa (ramosa), quando he composta de muitos ramos lateraes que sahem do
							troço materno (a ortiga e muitas [[b]]arvores[[/b]]): ella he ás vezes forquilhosa
							(dichotoma) dividindo-se quasi sempre em dois ramos como forcados.",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,15
digitada,digitado,digitado,feminino singular,1,"Apalmada ou [[b]]digitada[[/b]] (palmata, s. digitata), quando consta de partes
							carnudas, lobadas, hum
							tanto comprimidas, quasi iguaes, e adunadas junto da parte superior de
							modo que representaõ os dedos ou gadanhos de alguns animaes (orchis
							maculata): quando tem tres lobulos daõ-lhe muitas vezes o nome de quasi
							apalmada (sulpalmata) (como a orchis latifolia).",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,16
lobadas,lobado,lobado,feminino plural,1,"Apalmada ou digitada (palmata, s. digitata), quando consta de partes
							carnudas, [[b]]lobadas[[/b]], hum
							tanto comprimidas, quasi iguaes, e adunadas junto da parte superior de
							modo que representaõ os dedos ou gadanhos de alguns animaes (orchis
							maculata): quando tem tres lobulos daõ-lhe muitas vezes o nome de quasi
							apalmada (sulpalmata) (como a orchis latifolia).",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,16
raizes,raiz,raiz,plural,1,"Todas estas [[b]]raizes[[/b]] saõ bolbos
							bastardos.",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,16
raiz,raiz,raiz,,1,"Articulada (articulata), quando tem juntas de espaço em espaço (o
							escalracho), estes epaços entre as juntas saõ chamados entrenos
							(internodia); quando as juntas saõ hum tanto inchadas, a 
								[[b]]raiz[[/b]] tem o nome de geniculada (geniculata).",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,16
raizes,raiz,raiz,plural,1,"Alguns Botanicos daõ taõbem este nome ás [[b]]raizes[[/b]] tuberosas da filipendula, e outras
							semelhantes, em razaõ das suas tuberosidades se assemelharem a nòs ou
							contas enfiadas.",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,16
membranosas,membranoso,membranoso,feminino plural,1,"Escamosa (squamosa), quando he guarnecida de tunicas ou producções
							escamosas quer estas sejaõ obtusas quer pontudas, ou imbricadas, ou
							distantes, ou finas e [[b]]membranosas[[/b]], ou cascos da consistencia da 
							raiz, e hum tanto succulentos (dentaria pentaphyllos). 
								A raiz denteada (dentata), que se diz ordinariamente
									ter producçoẽs pontudas, direitas, curtas, da consistencia da
										raiz, laxas e distantes, he huma verdadeira
										raiz escamosa, e a Oxalis acetosella que se dà
									por exemplo, o demostra evidentemente: assim como as escamas
									pontudas dos caules senaõ chamaõ dentes, do mesmo modo devem ser
									as das  raizes, e este he
									o meyo de evitar termos desnecessarios.
							.",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,16
raiz,raiz,raiz,,1,"Escamosa (squamosa), quando he guarnecida de tunicas ou producções
							escamosas quer estas sejaõ obtusas quer pontudas, ou imbricadas, ou
							distantes, ou finas e membranosas, ou cascos da consistencia da 
							[[b]]raiz[[/b]], e hum tanto succulentos (dentaria pentaphyllos). 
								A raiz denteada (dentata), que se diz ordinariamente
									ter producçoẽs pontudas, direitas, curtas, da consistencia da
										raiz, laxas e distantes, he huma verdadeira
										raiz escamosa, e a Oxalis acetosella que se dà
									por exemplo, o demostra evidentemente: assim como as escamas
									pontudas dos caules senaõ chamaõ dentes, do mesmo modo devem ser
									as das  raizes, e este he
									o meyo de evitar termos desnecessarios.
							.",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,16
succulentos,suculento,suculentos,masculino plural,1,"Escamosa (squamosa), quando he guarnecida de tunicas ou producções
							escamosas quer estas sejaõ obtusas quer pontudas, ou imbricadas, ou
							distantes, ou finas e membranosas, ou cascos da consistencia da 
							raiz, e hum tanto [[b]]succulentos[[/b]] (dentaria pentaphyllos). 
								A raiz denteada (dentata), que se diz ordinariamente
									ter producçoẽs pontudas, direitas, curtas, da consistencia da
										raiz, laxas e distantes, he huma verdadeira
										raiz escamosa, e a Oxalis acetosella que se dà
									por exemplo, o demostra evidentemente: assim como as escamas
									pontudas dos caules senaõ chamaõ dentes, do mesmo modo devem ser
									as das  raizes, e este he
									o meyo de evitar termos desnecessarios.
							.",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,16
raiz,raiz,raiz,,1,"A [[b]]raiz[[/b]] denteada (dentata), que se diz ordinariamente
									ter producçoẽs pontudas, direitas, curtas, da consistencia da
										raiz, laxas e distantes, he huma verdadeira
										raiz escamosa, e a Oxalis acetosella que se dà
									por exemplo, o demostra evidentemente: assim como as escamas
									pontudas dos caules senaõ chamaõ dentes, do mesmo modo devem ser
									as das  raizes, e este he
									o meyo de evitar termos desnecessarios.",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,16
raiz,raiz,raiz,,1,"A [[b]]raiz[[/b]] denteada (dentata), que se diz ordinariamente
									ter producçoẽs pontudas, direitas, curtas, da consistencia da
										raiz, laxas e distantes, he huma verdadeira
										raiz escamosa, e a Oxalis acetosella que se dà
									por exemplo, o demostra evidentemente: assim como as escamas
									pontudas dos caules senaõ chamaõ dentes, do mesmo modo devem ser
									as das  raizes, e este he
									o meyo de evitar termos desnecessarios.",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,16
raiz,raiz,raiz,,1,"A [[b]]raiz[[/b]] denteada (dentata), que se diz ordinariamente
									ter producçoẽs pontudas, direitas, curtas, da consistencia da
										raiz, laxas e distantes, he huma verdadeira
										raiz escamosa, e a Oxalis acetosella que se dà
									por exemplo, o demostra evidentemente: assim como as escamas
									pontudas dos caules senaõ chamaõ dentes, do mesmo modo devem ser
									as das  raizes, e este he
									o meyo de evitar termos desnecessarios.",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,16
raizes,raiz,raiz,plural,1,"A raiz denteada (dentata), que se diz ordinariamente
									ter producçoẽs pontudas, direitas, curtas, da consistencia da
										raiz, laxas e distantes, he huma verdadeira
										raiz escamosa, e a Oxalis acetosella que se dà
									por exemplo, o demostra evidentemente: assim como as escamas
									pontudas dos caules senaõ chamaõ dentes, do mesmo modo devem ser
									as das  [[b]]raizes[[/b]], e este he
									o meyo de evitar termos desnecessarios.",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,16
succulentos,suculento,suculentos,masculino plural,1,"Granulosa (granulata), consta de pequenos graõs hum tanto globosos, 
								[[b]]succulentos[[/b]], de substancia compacta, aggregados, e rentes, ou
							quasi rentes com o tronco (saxifraga granulata).",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,17
raizes,raiz,raiz,plural,1,"Entre as  [[b]]raizes[[/b]] herbaceas
							ordinariamente mais grossas do que o tronco ha humas a que se deo o nome
							de tuberosas, e a outras o de bolbosas.",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,17
raiz,raiz,raiz,,1,"A [[b]]raiz[[/b]] tuberosa (tuberosa) he a que consta de huma ou mais
							tuberas (tubera); as tuberas saõ corpos carnudos, farinhosos, de varia
							figura 
								Ordinariamente saõ hum tanto globosas.
							, que arrancados, e ás vezes mesmo cortados em pedaços saõ
							capazes de continuar a sua especie, como saõ as batatas e tuberas da
							terra.",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,17
raizes,raiz,raiz,plural,1,"Nestas  [[b]]raizes[[/b]] naõ ha tunicas, nem
							cascos, nem gomo algum interno nelles envolto, nem ainda mesmo se
							observa na parte superior hum ponto agudo germinativo, como se vê nos
							bolbos compactos das Orchideas.",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,17
raiz,raiz,raiz,,1,"A [[b]]raiz[[/b]] bolbosa (bulbosa) he a que 
								Vej. as palayras bulbus e bulbosus no nosso Diccion.
							 consta ou he guarnecida de hum, ou mais bolbos; os bolbos
							propriamente taes (bulbi) saõ corpos carnudos  succulentos, que
							contem no seu centro, ou junto da base huma especie de olho
							germinativo.",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,17
succulentos,suculento,suculentos,masculino plural,1,"A raiz bolbosa (bulbosa) he a que 
								Vej. as palayras bulbus e bulbosus no nosso Diccion.
							 consta ou he guarnecida de hum, ou mais bolbos; os bolbos
							propriamente taes (bulbi) saõ corpos carnudos  [[b]]succulentos[[/b]], que
							contem no seu centro, ou junto da base huma especie de olho
							germinativo.",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,17
raizes,raiz,raiz,plural,1,"Todos os que naõ tem escamas nem cascos ou tunicas, que saõ compactos,
							farinhosos, e com huma pequena ponta germinativa no topo, sobre o qual
							assentava a base do antigo tronco, devem ser considerados como bolbos
							bastardos, taes saõ por ex. as [[b]]raizes[[/b]] dos ranunculos, e muitas orchideas.",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,18
folhas,folha,folha,plural,1,"Huns saõ radicaes, isto he, encravados na terra, sendo o resto da base do
							antigo caule e das [[b]]folhas[[/b]]
							radicaes, como os das cebolas e alhos, outros saõ caulinos (caulini),
							nascendo ou nas axillas que formaõ as folhas com o tronco, como saõ os que se vêm na bistorta, e
							ranunculus ficaria (os quaes saõ bolbos bastardos), ou entre as flores
							como no polygonum viviparum e algumas especies de alho.",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,18
folhas,folha,folha,plural,1,"Huns saõ radicaes, isto he, encravados na terra, sendo o resto da base do
							antigo caule e das [[b]]folhas[[/b]]
							radicaes, como os das cebolas e alhos, outros saõ caulinos (caulini),
							nascendo ou nas axillas que formaõ as folhas com o tronco, como saõ os que se vêm na bistorta, e
							ranunculus ficaria (os quaes saõ bolbos bastardos), ou entre as flores
							como no polygonum viviparum e algumas especies de alho.",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,18
tuberculados,tuberculado,tuberculado,masculino plural,1,"Os bolbos radicaes dizem-se ser entunicados (tunicati bulbi), quando saõ
							compostos de cascos concentricos como na cebola, alhos, cebolla
							alvarran, &c; escamosos (squamosi) se constaõ de escamas imbricadas
							como na açucena; solidos (solidi) quando constaõ de huma substancia
							solida como na tulipa; dobrados (duplicati) quando estaõ dois adunados
							em hum (na coroa imperial, e fritillaria regia), [[b]]tuberculados[[/b]]
							(tuberculati) se tem tuberculos na base ou topo, como no colchico.",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,18
raiz,raiz,raiz,,1,"Quando se achaõ em huma [[b]]raiz[[/b]] bolbosa muitos pequenos bolbos,
							ou dentro da mesma membrana commua, ou lateralmente apegados huns aos
							outros sobre a mesma base fibrosa, daõlhes o nome de bolbilhos (bulbuli,
							s. adnata), como se observa nalgumas especies de alho 
								
									Estes termos daõ-se taõbem aos bolbos novos, que nascem ao
										lado dos antigos.
								
								
									Na familia das orchideas as partes carnudas da
											raiz saõ chamadas bolbos, e lhes costumaõ
										dar os epithetos differenciaes de ovados, redondos, hum
										tanto redondos, apalmados, hum tanto apalmados, rectos,
										patentes, indivisos, globosos, comprimidos, flexuosos,
										aggregados ou fasciculados, denteados, fibrosos, hum tanto
										fibrosos, filiformes, &c. mas semelhantes producçoẽs so
										merecem o nome de bolbos bastardos por participarem da
										natureza farinhosa e tuberosa.
									Taõbem senaõ devem por no numero das verdadeiras raizes bolbosas as dos
										nabos, bryonia, golfaõ, paõ de porco, cogumelos, e as de
										muitas outras plantas que saõ impropriamente denominadas
										bolbosas.
								
							.",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,18
raiz,raiz,raiz,,1,"Na familia das orchideas as partes carnudas da
											[[b]]raiz[[/b]] saõ chamadas bolbos, e lhes costumaõ
										dar os epithetos differenciaes de ovados, redondos, hum
										tanto redondos, apalmados, hum tanto apalmados, rectos,
										patentes, indivisos, globosos, comprimidos, flexuosos,
										aggregados ou fasciculados, denteados, fibrosos, hum tanto
										fibrosos, filiformes, &c. mas semelhantes producçoẽs so
										merecem o nome de bolbos bastardos por participarem da
										natureza farinhosa e tuberosa.",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,18
raizes,raiz,raiz,plural,1,"Taõbem senaõ devem por no numero das verdadeiras [[b]]raizes[[/b]] bolbosas as dos
										nabos, bryonia, golfaõ, paõ de porco, cogumelos, e as de
										muitas outras plantas que saõ impropriamente denominadas
										bolbosas.",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,18
raiz,raiz,raiz,,1,"O termo caput significa taõbem nos escritos de alguns Botanicos a
									cabeça ou golla da [[b]]raiz[[/b]], que he a parte extrema
									superior que se acha hum pouco fora da terra, donde nascem as
										folhas radicaes, e
									comeca o tronco; esta golla he assaz bem distincta no rabaõ, e
									algumas outras  raizes;
									porem em hum grande numero dellas naõ se distingue golla alguma,
									e o ponto de separaçaõ entre o tronco e a raiz he
									muito arbitrario.",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,19
folhas,folha,folha,plural,1,"O termo caput significa taõbem nos escritos de alguns Botanicos a
									cabeça ou golla da raiz, que he a parte extrema
									superior que se acha hum pouco fora da terra, donde nascem as
										[[b]]folhas[[/b]] radicaes, e
									comeca o tronco; esta golla he assaz bem distincta no rabaõ, e
									algumas outras  raizes;
									porem em hum grande numero dellas naõ se distingue golla alguma,
									e o ponto de separaçaõ entre o tronco e a raiz he
									muito arbitrario.",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,19
raizes,raiz,raiz,plural,1,"O termo caput significa taõbem nos escritos de alguns Botanicos a
									cabeça ou golla da raiz, que he a parte extrema
									superior que se acha hum pouco fora da terra, donde nascem as
										folhas radicaes, e
									comeca o tronco; esta golla he assaz bem distincta no rabaõ, e
									algumas outras  [[b]]raizes[[/b]];
									porem em hum grande numero dellas naõ se distingue golla alguma,
									e o ponto de separaçaõ entre o tronco e a raiz he
									muito arbitrario.",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,19
raiz,raiz,raiz,,1,"O termo caput significa taõbem nos escritos de alguns Botanicos a
									cabeça ou golla da [[b]]raiz[[/b]], que he a parte extrema
									superior que se acha hum pouco fora da terra, donde nascem as
										folhas radicaes, e
									comeca o tronco; esta golla he assaz bem distincta no rabaõ, e
									algumas outras  raizes;
									porem em hum grande numero dellas naõ se distingue golla alguma,
									e o ponto de separaçaõ entre o tronco e a raiz he
									muito arbitrario.",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,19
raiz,raiz,raiz,,1,Quanto á duraçaõ a [[b]]raiz[[/b]] diz se ser:,BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,19
raizes,raiz,raiz,plural,1,Esta sorte de [[b]]raizes[[/b]] he indicada nas obras dos Botanicos com o sinal ☉︎.,BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,19
raizes,raiz,raiz,plural,1,"Todas as [[b]]raizes[[/b]] dos subarbustos, arbustos, e arvores saõ do
							numero das vivaces, como se entende facilmente, e porisso senaõ faz
							mençaõ desta circumstancia nas suas descripçoẽs; as raizes arbustivas (fruticosae), saõ indicadas
							por alguns autores com o sinal ♄",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,20
arvores,árvore,árvores,plural,1,"Todas as raizes dos subarbustos, arbustos, e [[b]]arvores[[/b]] saõ do
							numero das vivaces, como se entende facilmente, e porisso senaõ faz
							mençaõ desta circumstancia nas suas descripçoẽs; as raizes arbustivas (fruticosae), saõ indicadas
							por alguns autores com o sinal ♄",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,20
raizes,raiz,raiz,plural,1,"Todas as [[b]]raizes[[/b]] dos subarbustos, arbustos, e arvores saõ do
							numero das vivaces, como se entende facilmente, e porisso senaõ faz
							mençaõ desta circumstancia nas suas descripçoẽs; as raizes arbustivas (fruticosae), saõ indicadas
							por alguns autores com o sinal ♄",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,20
tronco,tronco,tronco,,1,"O  [[b]]tronco[[/b]] he o troço ascendente, ou a parte que se eleva
							immediamente sobre a raiz, destinado ao engrandecimento da
							planta, e a terminar pela fructificaçaõ.",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,20
raiz,raiz,raiz,,1,"O  tronco he o troço ascendente, ou a parte que se eleva
							immediamente sobre a [[b]]raiz[[/b]], destinado ao engrandecimento da
							planta, e a terminar pela fructificaçaõ.",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,20
tronco,tronco,tronco,,1,"Os antigos davaõ o nome de [[b]]tronco[[/b]] (truncus) ao troço
							ascendente das plantas lenhosas, e o de caule ou talo (caulis) ao das
							herbaceas; mas hoje a palavra tronco está adoptada por hum
							termo geral de que o caule he huma especie, de maneira que se pode dizer
							com igual propriedade de termo, que o choupo tem hum caule lenhoso, como
							se pode dizer, que a alface tem hum caule herbaceo.",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,20
tronco,tronco,tronco,,1,"Os antigos davaõ o nome de [[b]]tronco[[/b]] (truncus) ao troço
							ascendente das plantas lenhosas, e o de caule ou talo (caulis) ao das
							herbaceas; mas hoje a palavra tronco está adoptada por hum
							termo geral de que o caule he huma especie, de maneira que se pode dizer
							com igual propriedade de termo, que o choupo tem hum caule lenhoso, como
							se pode dizer, que a alface tem hum caule herbaceo.",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,20
raizes,raiz,raiz,plural,1,"Em hum grande numero de troncos ha, como nas [[b]]raizes[[/b]], epiderme, casca, alburno, lenho, e
							medulla.",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,20
folhas,folha,folha,plural,1,"Linneo admitte taõbem como especies de tronco os peciolos das
											[[b]]folhas[[/b]], os
										peduncusos, e frondes; quanto aos peciolos naõ conheço razaõ
										para lhes poder chamar troncos, ainda mesmo os que sostêm
											folhas que daõ
										flores e fructos como nas especies de gilbarbeira (ruscus),
										e os excluo pelo mesmo motivo que elle excluio os ramos, a
										que chama partes do tronco e naõ tronco.",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,21
folhas,folha,folha,plural,1,"Linneo admitte taõbem como especies de tronco os peciolos das
											[[b]]folhas[[/b]], os
										peduncusos, e frondes; quanto aos peciolos naõ conheço razaõ
										para lhes poder chamar troncos, ainda mesmo os que sostêm
											folhas que daõ
										flores e fructos como nas especies de gilbarbeira (ruscus),
										e os excluo pelo mesmo motivo que elle excluio os ramos, a
										que chama partes do tronco e naõ tronco.",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,21
raiz,raiz,raiz,,1,"As frondes nos fetos saõ parte do tronco, e naõ hum tronco;
										so pode haver duvida quanto a alguns generos de Algas ou
										especies de Lichen, Fucus, &c. que parecem ser
										inteiramente frondes, mas os botanicos naõ decidiraõ ainda,
										se ellas mereciaõ mais o nome de tronco que o de
											[[b]]raiz[[/b]] ou folha, assim como
										senaõ decidio ainda se os fios dos limos e a lanugem do
										Bissus saõ huma especie de tronco, apezar da analogia que
										tem com o espique do bolor (mucor mucedo).",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,21
folha,folha,folha,,1,"As frondes nos fetos saõ parte do tronco, e naõ hum tronco;
										so pode haver duvida quanto a alguns generos de Algas ou
										especies de Lichen, Fucus, &c. que parecem ser
										inteiramente frondes, mas os botanicos naõ decidiraõ ainda,
										se ellas mereciaõ mais o nome de tronco que o de
											raiz ou [[b]]folha[[/b]], assim como
										senaõ decidio ainda se os fios dos limos e a lanugem do
										Bissus saõ huma especie de tronco, apezar da analogia que
										tem com o espique do bolor (mucor mucedo).",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,21
folhas,folha,folha,plural,1,"O caule (caulis) he huma especie de tronco ordinariamente guarnecido de
								[[b]]folhas[[/b]]
							
								
									Quando o caule pertence a hum subarbusto, arbusto, ou  arvore, quando elle he herbaceo
										postrado ou reptante, algumas vezes fructifica sem ter folhas algumas, mas
										nem porisso deve ser chamado hastea (como se collige da
										definiçaõ que della dou); taes saõ algumas especies de
										Euphorbia, Cactus, Ephedra, Stapelia, Asparagus e Cuscuta.
									
								
							, que eleva huma fructificaçaõ a qual naõ he nem musgosa nem
							graminea nem analoga á dos grames (como o da pereira e açucena).",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,21
arvore,árvore,árvore,,1,"Quando o caule pertence a hum subarbusto, arbusto, ou  [[b]]arvore[[/b]], quando elle he herbaceo
										postrado ou reptante, algumas vezes fructifica sem ter folhas algumas, mas
										nem porisso deve ser chamado hastea (como se collige da
										definiçaõ que della dou); taes saõ algumas especies de
										Euphorbia, Cactus, Ephedra, Stapelia, Asparagus e Cuscuta.",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,21
folhas,folha,folha,plural,1,"Quando o caule pertence a hum subarbusto, arbusto, ou  arvore, quando elle he herbaceo
										postrado ou reptante, algumas vezes fructifica sem ter [[b]]folhas[[/b]] algumas, mas
										nem porisso deve ser chamado hastea (como se collige da
										definiçaõ que della dou); taes saõ algumas especies de
										Euphorbia, Cactus, Ephedra, Stapelia, Asparagus e Cuscuta.",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,21
folhas,folha,folha,plural,1,"As verdascas e estolhos de que fallei no capitulo precedente saõ especies
							de caules herbaceos sem articulaçoẽs nodosas, e os sarmentos (sarmenta)
							saõ caules lenhosos ou herbaceos, de [[b]]folhas[[/b]] hum tanto remotas, geniculado, lançando raizes nas articulaçoes nodozas,
							como saõ os da videira e escalracho.",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,21
raizes,raiz,raiz,plural,1,"As verdascas e estolhos de que fallei no capitulo precedente saõ especies
							de caules herbaceos sem articulaçoẽs nodosas, e os sarmentos (sarmenta)
							saõ caules lenhosos ou herbaceos, de folhas hum tanto remotas, geniculado, lançando [[b]]raizes[[/b]] nas articulaçoes nodozas,
							como saõ os da videira e escalracho.",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,21
folhas,folha,folha,plural,1,"A hastea (scapus) he huma especie de tronco herbaceo ou levantado ou
							obliquo, e inteiramente  desguarnecido de [[b]]folhas[[/b]]
							
								A hastea pode terminar em huma ou muitas flores, em espigas,
									racimos e paniculas, e por conseguinte ser ramosa.
								Lê-se nalgumas descripçoẽs de plantas herbaceas e levantadas:
									caule sem  folhas, ou nu
									de folhas (caulis
									aphyllus, s. nudus) hastea bifolia, hastea folhosa; mas estes
									termos saõ ambiguos e improprios, porque no primeiro cazo o
									tronco he huma hastea, e no segundo he hum caule.
								Pela mesma razaõ me parece taõbem ser desnecessario dizer: hastea
									sem folhas (scapus
									aphyllus).
								Ha plantas que podem ter duas sortes de troncos, isto he, caule e
									hastea como a pilosella e morangueiro.
								Algumas especies de Osmunda tem hastea e espique ao mesmo tempo,
									segundo alguns autores, mas como neste cazo a folha
									naõ fructifica, parece que se deve conservar o nome de peciolo
									ao seu pé, dar o nome de hasteas aos pedunculos radicaes, e
									chamar simplesmente pedunculos aos que nascem do espique muito
									acima da superficie da terra.
							, como v. g. a dos narcisos e junquilhos.",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,22
